name,kyoku_count,agari_count,dealin_count,riichi_count,riichi_agari_count,dama_agari_count,open_agari_count,open_count,total_haipai_shanten,total_agari_score,total_dealin_score,ura_count,yakuman_count,sanbaiman_count,baiman_count,yakuman_chance,ippatsu_dealin_count,ippatsu_brazen_count,total_riichi_wait,total_agari_waits,dama_dealin_count,dama_mangan_dealin_count,action_count,seconds_played
TlaseZ,3065,747,459,606,319,65,363,1191,10996,5375900,2339100,118,1,2,13,0,24,707,3284,3923,32,8,47105,554515
MagicTurtle322,2587,577,350,470,262,54,261,874,9279,4078500,1791600,104,2,2,12,0,20,610,2555,3094,13,1,40110,496508
Darthwiader,2413,604,410,375,219,67,318,1074,8588,4144700,2359100,84,1,2,20,1,18,678,2065,3180,26,5,36568,460940
46dai,2381,526,335,498,254,27,245,825,8484,3928000,1926800,121,0,1,13,0,17,548,2447,2643,25,5,36395,429277
verbetering,1705,377,187,353,199,15,163,465,6139,2579500,1086100,61,1,1,5,0,10,328,1786,2026,22,8,26029,317937
SylviaQueen,1297,271,203,271,133,21,117,429,4643,2170600,1128100,60,2,3,7,2,7,364,1317,1350,16,2,19922,246309
NoSleepSteve,1243,272,219,256,129,6,137,460,4470,1829600,1270500,57,0,0,2,0,10,367,1261,1416,13,2,18994,235369
アミア,1201,259,180,218,112,21,126,446,4320,1796000,1011900,43,0,1,5,0,9,323,1087,1344,17,4,18587,215536
KAmber,1162,266,184,231,113,17,136,498,4149,1753600,1113900,51,0,0,2,0,5,334,1047,1307,14,3,17671,213842
LilyCantPlay7K,1162,275,171,234,124,12,139,431,4208,1965200,883500,65,1,1,7,0,13,298,1181,1410,15,4,18271,221039
millicenturies,1121,283,187,251,141,19,123,413,4028,2049100,1054500,57,0,0,2,0,10,325,1221,1465,14,5,17153,218055
Liiliia,1069,239,199,268,137,9,93,291,3821,1729700,1178700,56,1,1,2,0,8,343,1333,1272,9,3,16445,203053
Notze1da,1017,190,186,160,70,17,103,513,3600,1154400,1151800,24,0,0,4,0,10,362,732,942,10,3,15405,188119
Sir_Flash,1010,198,167,225,112,10,76,354,3651,1384800,947100,39,0,0,5,0,4,309,1098,1060,13,7,15167,187549
Pentachills,940,221,141,166,94,27,100,350,3323,1462700,852300,47,0,0,5,0,6,227,862,1184,9,2,14412,178186
Dantor,856,185,140,172,76,6,103,322,3038,1153400,804400,27,0,0,1,0,4,216,812,982,12,3,13207,156067
_Psyduck,759,134,138,131,69,1,64,333,2715,926000,764800,28,0,0,1,0,6,231,588,662,14,3,11724,155395
kris_gld,705,149,95,143,75,8,66,216,2529,1092400,530500,22,0,0,3,0,2,170,731,780,14,4,10843,138284
七々子,672,153,78,121,66,11,76,245,2377,1032300,369000,30,0,0,1,0,1,146,649,808,8,4,10227,123833
HemaG,644,173,94,137,82,16,75,218,2295,1071900,523200,23,0,0,0,0,6,153,671,849,5,1,9923,115671
maybemint,634,132,99,122,60,15,57,179,2296,967300,540800,30,0,0,7,0,8,168,623,694,6,0,9769,116350
弄志,628,149,75,119,63,10,76,225,2254,1101000,400500,27,1,1,2,1,1,144,647,750,7,3,9789,114917
chHaruki,621,128,115,123,61,9,58,239,2215,923600,679200,25,1,1,3,0,5,166,611,656,5,1,9523,114825
Gramsci,618,148,89,127,71,6,71,228,2243,1024900,462700,29,0,0,2,0,3,170,669,755,8,2,9163,108081
GioGiost,561,134,74,88,53,14,67,220,2020,905300,372500,19,0,0,1,0,3,124,479,694,6,3,8673,112343
ToiletManPro,544,118,76,126,64,3,51,166,1961,853800,422300,24,0,0,0,0,5,156,637,636,6,2,8278,103569
DLH,494,100,82,90,39,13,48,168,1737,748800,391800,17,0,0,2,0,0,98,425,486,12,5,7568,93088
Yulania,489,100,84,94,44,9,47,162,1746,731300,423600,18,0,0,2,0,6,109,486,526,6,3,7566,94681
kanashisa,448,104,54,85,48,13,43,122,1624,759300,301600,23,0,0,3,0,2,86,424,558,6,1,7081,88606
ghostpunk,422,102,49,78,39,9,54,132,1514,580300,356200,18,0,0,1,0,3,89,409,559,3,1,6446,81546
Monkeyking,414,113,82,100,57,12,44,137,1466,950600,451400,22,1,1,6,0,4,125,507,606,1,0,6446,77274
zyxygen,383,64,70,85,39,1,24,96,1340,497000,445800,14,0,0,3,0,4,97,453,340,0,0,5863,73676
ヒテイ,367,87,36,63,29,10,48,129,1295,517600,160400,12,0,0,1,0,1,99,313,461,5,0,5594,70394
cursedplayer,357,75,76,60,29,5,41,159,1292,553600,430700,18,0,0,2,0,1,99,299,375,4,1,5273,69248
SevenUpp,356,77,46,74,39,3,35,115,1266,532400,228300,13,0,0,2,0,2,76,362,414,1,0,5388,66519
koiuwu,356,92,43,55,33,12,47,147,1257,663000,331500,11,0,0,1,0,2,92,301,493,3,1,5302,65778
BigWigRah,350,86,33,89,44,6,36,90,1251,593100,147900,24,0,0,1,0,1,68,442,418,2,0,5532,68057
Purin258,340,79,54,73,39,4,36,87,1216,596500,264600,14,1,1,1,1,1,64,425,433,5,0,5187,62045
watdeduck,326,75,49,50,28,9,38,126,1181,473800,258900,16,0,0,0,0,2,89,279,400,3,1,4894,59478
inspired,319,75,56,61,31,4,40,121,1177,477100,322700,10,0,0,1,0,4,68,320,420,4,0,4804,59167
Kakino_tea,309,77,28,65,39,3,35,109,1105,584200,138800,12,0,0,1,0,1,71,344,413,10,0,4893,57675
luin,305,49,59,46,15,4,30,136,1102,299600,289100,9,0,0,3,0,3,67,205,253,5,1,4843,64027
SandiaFresca,294,71,34,52,31,5,35,86,1044,480300,170100,8,0,0,1,0,0,55,283,398,2,1,4649,58416
6c697a,276,42,39,54,21,1,20,78,980,286000,188200,5,0,0,0,0,3,97,237,198,2,1,4219,54462
PixelCharisma,272,56,37,49,28,7,21,80,984,396800,212800,9,0,0,0,0,1,52,254,287,8,1,4330,53914
patyczek,204,54,23,54,28,7,19,70,741,422000,109400,22,0,0,2,0,1,52,299,303,3,0,3203,41991
Alfouick,181,43,31,31,18,3,22,75,650,289700,141700,7,0,0,1,0,1,32,156,260,1,0,2651,32446
Jahbari,169,30,29,29,17,6,7,44,597,206400,185100,8,0,0,0,0,2,39,164,166,4,0,2638,34841
ShadowBeatz,161,30,22,19,10,9,11,49,584,171400,116300,1,0,0,0,0,2,45,91,141,0,0,2381,29521
machcharge,157,36,20,43,23,0,13,42,558,270500,100600,6,0,0,1,0,0,46,233,191,0,0,2397,30886
stilts,152,33,24,28,16,1,16,56,566,258800,124300,7,0,0,2,0,0,39,132,167,1,0,2212,29138
PurpurPhoenix,150,40,18,20,15,6,19,50,532,261100,87700,4,0,0,0,0,0,43,109,211,0,0,2327,27596
