name,Riichi,Red Five,Dora,All Simples,Fully Concealed Hand,Pinfu,Ura Dora,Ippatsu,Seat Wind,Prevalent Wind,Red Dragon,White Dragon,Green Dragon,Half Flush,Pure Double Sequence,Mixed Triple Sequence,All Triplets,Seven Pairs,Pure Straight,Half Outside Hand,Three Concealed Triplets,Full Flush,Under the River,Under the Sea,After a Kan,Fully Outside Hand,Double Riichi,Little Three Dragons,Triple Triplets,All Terminals and Honors,Robbing a Kan,Thirteen Orphans,Twice Pure Double Sequence,Four Concealed Triplets,Single-wait Four Concealed Triplets,Four Little Winds,All Honors
TlaseZ,319,332,289,168,142,161,92,71,59,49,81,65,53,54,31,23,33,12,9,3,10,5,2,0,2,5,0,0,1,0,0,1,0,0,0,0,0
MagicTurtle322,262,245,221,114,116,127,87,65,43,53,55,55,54,30,25,15,7,14,8,7,2,4,2,2,0,1,0,2,0,2,0,1,1,0,0,0,0
Darthwiader,219,240,228,133,122,104,80,53,38,59,59,48,57,54,25,22,10,6,7,12,4,8,2,4,3,1,0,1,0,0,0,0,0,0,0,0,1
46dai,253,215,216,114,92,85,92,56,53,43,47,44,46,26,18,11,19,11,9,2,5,5,6,2,1,3,1,1,0,0,0,0,0,0,0,0,0
verbetering,198,157,146,53,81,70,71,33,38,28,31,31,34,12,10,8,4,10,0,3,1,5,1,4,3,1,1,0,0,0,1,0,0,0,0,0,0
SylviaQueen,130,123,100,50,42,62,50,30,34,18,21,21,14,14,10,7,9,9,10,3,4,1,3,2,3,0,2,0,0,0,1,0,1,1,1,0,0
NoSleepSteve,129,108,99,51,60,47,37,23,23,35,29,27,17,12,10,5,10,3,2,1,1,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0
アミア,112,112,112,59,48,51,34,23,24,28,21,17,19,12,12,5,6,4,1,1,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KAmber,113,111,89,55,45,47,32,27,23,24,25,20,16,22,10,18,11,7,5,2,4,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0
LilyCantPlay7K,124,104,110,49,51,35,39,32,32,23,23,31,22,18,6,8,10,10,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
millicenturies,139,117,110,42,64,47,44,36,29,30,27,15,16,9,13,8,8,10,6,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Liiliia,137,90,87,44,64,58,53,30,15,12,22,15,12,12,8,7,9,5,3,3,3,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Notze1da,70,65,59,34,32,21,16,12,18,17,15,18,17,6,10,0,17,6,5,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sir_Flash,111,74,61,19,46,52,38,20,23,20,11,12,16,7,16,8,5,2,4,3,2,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Pentachills,93,97,90,47,49,36,24,17,10,16,16,21,19,9,5,4,3,2,2,3,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Dantor,76,70,73,27,32,29,22,11,22,19,16,16,19,4,8,4,2,2,6,0,2,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0
_Psyduck,69,51,48,23,28,26,27,5,15,12,7,12,9,8,8,6,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kris_gld,74,55,51,23,32,30,25,15,18,15,9,11,4,10,7,7,2,6,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
七々子,66,62,59,32,24,28,24,7,18,21,9,9,12,8,4,7,4,2,4,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
HemaG,82,67,57,32,37,23,22,18,13,13,9,16,10,2,7,4,3,4,2,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
maybemint,59,47,56,33,28,29,17,16,11,9,9,12,5,7,4,9,2,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
弄志,61,52,54,27,29,19,21,14,11,15,13,20,16,13,2,1,7,4,1,3,3,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
chHaruki,61,43,48,27,33,23,18,11,4,6,12,11,12,6,7,6,6,5,4,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gramsci,71,56,45,41,31,35,24,23,10,16,8,8,8,3,4,5,9,4,2,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GioGiost,53,50,49,30,21,23,12,14,11,11,10,10,16,7,6,9,1,3,3,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ToiletManPro,64,51,44,23,27,27,21,19,7,11,11,13,7,2,4,2,2,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLH,39,48,41,22,18,15,17,13,14,6,13,6,10,6,2,2,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yulania,44,47,47,29,13,17,13,10,9,8,13,3,5,3,2,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanashisa,48,40,50,17,22,16,20,9,11,8,8,7,8,6,6,6,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghostpunk,39,29,47,16,18,19,13,8,11,11,5,11,10,2,4,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monkeyking,57,55,46,23,28,27,17,14,8,5,5,6,5,5,12,3,2,5,3,4,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
zyxygen,38,26,20,9,20,16,12,7,5,6,6,7,4,2,2,0,2,4,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ヒテイ,29,35,35,24,22,12,12,4,4,5,6,6,9,2,1,4,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cursedplayer,29,37,32,24,7,12,11,10,1,5,3,7,2,1,5,1,2,3,7,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SevenUpp,39,35,29,12,16,9,14,10,9,11,5,6,3,2,1,2,1,2,1,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0
koiuwu,33,35,44,26,17,21,7,9,9,9,6,5,9,7,8,2,1,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BigWigRah,42,38,32,14,17,13,16,8,5,3,10,6,8,3,4,3,2,5,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Purin258,38,33,39,10,17,14,11,6,7,5,5,7,10,2,2,2,1,3,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
watdeduck,28,30,26,27,11,19,9,3,5,5,3,3,6,2,5,4,0,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
inspired,30,33,23,24,15,12,9,12,5,7,8,7,4,3,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kakino_tea,39,34,37,22,18,13,15,8,2,4,6,6,5,3,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
luin,14,19,20,9,9,7,7,4,6,10,0,4,4,3,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SandiaFresca,31,40,24,19,15,15,14,4,2,1,6,10,5,0,2,2,2,1,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6c697a,21,16,20,6,5,3,11,5,9,4,3,1,2,1,0,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PixelCharisma,28,21,18,9,14,11,11,6,6,5,2,5,4,0,1,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
patyczek,28,16,21,14,17,11,13,11,6,4,4,0,3,1,4,2,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfouick,18,17,18,9,8,8,8,5,6,6,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahbari,17,10,11,5,12,6,6,5,0,0,2,0,5,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ShadowBeatz,10,14,8,3,6,6,2,3,3,1,4,3,1,3,2,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machcharge,23,17,15,3,6,8,3,6,4,1,3,3,6,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
stilts,16,15,20,8,9,6,8,5,2,5,2,2,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PurpurPhoenix,15,22,19,12,5,3,2,3,1,5,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibarakira,16,11,13,7,7,5,5,2,2,3,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shamtusktic,8,6,5,4,6,4,2,1,1,1,3,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
オオハシ正義,10,16,17,14,6,1,3,1,3,2,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
